                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59499,                 3.1903,                 1.1053,                0.00371,                      1,                0.46473,                0.44328,                0.18854,                 3.2259,                 0.8182,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                0.43742,                  2.904,                0.94361,                0.00387,                      1,                0.45442,                0.44298,                0.23487,                 3.1896,                0.81224,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                0.40469,                 2.2801,                0.90644,                0.00367,                      1,                0.48234,                0.47266,                 0.2484,                 3.0278,                0.81425,             0.00015408,             0.00015408,             0.00015408
                      4,                0.53379,                 2.0073,                 1.0795,                0.25746,                0.55556,                0.52627,                0.51657,                0.27013,                 2.7635,                0.82301,             0.00020798,             0.00020798,             0.00020798
                      5,                0.51994,                 1.7756,                 1.0034,                 0.0034,                      1,                0.58646,                 0.5696,                0.27963,                 2.8024,                0.82114,             0.00026076,             0.00026076,             0.00026076
                      6,                0.49742,                 1.5782,                 1.0005,                0.00343,                      1,                0.67675,                0.63743,                0.33071,                 2.8134,                0.84006,              0.0003124,              0.0003124,              0.0003124
                      7,                0.51221,                 1.4628,                0.93717,                      1,                0.45604,                0.74867,                0.70511,                  0.315,                 2.4966,                0.83193,             0.00036291,             0.00036291,             0.00036291
                      8,                0.44674,                 1.2393,                0.93117,                0.97892,                0.66667,                0.96389,                0.92594,                0.31512,                 2.2173,                0.83783,             0.00041229,             0.00041229,             0.00041229
                      9,                0.43078,                  1.123,                0.88501,                0.98435,                0.84653,                  0.995,                0.97912,                 0.2819,                 2.2168,                0.82193,             0.00046054,             0.00046054,             0.00046054
                     10,                0.51977,                  1.134,                 0.9663,                0.94689,                0.77537,                  0.995,                0.94932,                0.34444,                 1.7443,                 0.8385,             0.00050765,             0.00050765,             0.00050765
                     11,                0.43957,                 1.0703,                0.90123,                 0.9135,                0.94518,                0.97803,                0.94279,                0.33314,                 1.6517,                0.83805,             0.00055364,             0.00055364,             0.00055364
                     12,                0.52404,                0.93865,                0.94992,                0.91256,                 0.9632,                  0.995,                0.93914,                0.35124,                 1.5375,                0.83887,             0.00059849,             0.00059849,             0.00059849
                     13,                0.41627,                 0.8261,                0.89227,                0.92917,                0.96052,                  0.995,                0.96279,                0.36273,                 1.3997,                0.86393,             0.00064221,             0.00064221,             0.00064221
                     14,                 0.4671,                0.88997,                0.91808,                0.92828,                0.94287,                  0.995,                0.95053,                0.36989,                  1.414,                0.86392,              0.0006848,              0.0006848,              0.0006848
                     15,                0.44007,                 1.0119,                0.87091,                0.94509,                0.96316,                  0.995,                0.92737,                0.40588,                 1.4964,                0.87751,             0.00072625,             0.00072625,             0.00072625
                     16,                0.51457,                 1.2098,                 0.9454,                0.93424,                0.98611,                  0.995,                0.90161,                0.44464,                 1.4073,                0.89786,             0.00076658,             0.00076658,             0.00076658
                     17,                0.49867,                 1.0126,                0.94493,                0.95873,                 0.9871,                  0.995,                 0.8837,                0.50592,                 1.5058,                0.93894,             0.00080577,             0.00080577,             0.00080577
                     18,                0.45321,                 1.1029,                 0.8976,                0.83648,                0.80877,                0.89274,                0.77076,                0.59477,                 1.8688,                0.99832,             0.00084383,             0.00084383,             0.00084383
                     19,                0.48819,                0.98645,                0.93724,                0.96888,                0.89492,                  0.967,                0.86242,                0.45762,                 1.2168,                 0.9211,             0.00088076,             0.00088076,             0.00088076
                     20,                0.46143,                0.85673,                0.91398,                0.94901,                0.99577,                  0.995,                0.91635,                0.39713,                 1.0445,                0.88391,             0.00091656,             0.00091656,             0.00091656
                     21,                0.45708,                0.89035,                 0.9641,                 0.9465,                      1,                  0.995,                0.92019,                0.39375,                 1.1334,                0.86638,             0.00095123,             0.00095123,             0.00095123
                     22,                0.54717,                0.98576,                 1.0318,                0.91584,                0.99294,                  0.995,                0.93049,                0.38501,                 1.1518,                0.86153,             0.00098476,             0.00098476,             0.00098476
                     23,                0.51255,                 1.0857,                 1.0023,                0.97589,                      1,                  0.995,                0.91876,                0.38594,                 1.0335,                0.86122,              0.0010172,              0.0010172,              0.0010172
                     24,                0.47251,                0.94806,                0.91826,                0.93761,                      1,                0.98767,                0.91381,                0.42146,                 1.0822,                0.88254,              0.0010484,              0.0010484,              0.0010484
                     25,                0.42868,                0.95503,                0.92349,                0.97037,                0.96587,                  0.995,                0.91707,                0.42552,                 1.1704,                0.89424,              0.0010786,              0.0010786,              0.0010786
                     26,                0.47817,                0.86602,                 0.9207,                0.98048,                0.97222,                  0.995,                0.93237,                0.39992,                 1.1083,                0.89282,              0.0010753,              0.0010753,              0.0010753
                     27,                0.43562,                0.81126,                0.94894,                0.98634,                0.97053,                  0.995,                0.92289,                0.40091,                 0.9949,                0.91867,              0.0010612,              0.0010612,              0.0010612
                     28,                0.43602,                0.80663,                0.90755,                0.98233,                0.97507,                  0.995,                0.89648,                0.40125,                0.94573,                0.91496,               0.001047,               0.001047,               0.001047
                     29,                0.49102,                0.79374,                0.98439,                0.98931,                 0.9921,                  0.995,                0.90216,                0.44133,                0.89042,                0.96601,              0.0010329,              0.0010329,              0.0010329
                     30,                0.39065,                0.73066,                0.87681,                0.98316,                      1,                  0.995,                0.90219,                0.42622,                0.90781,                0.91133,              0.0010187,              0.0010187,              0.0010187
                     31,                0.49636,                0.78867,                0.94585,                0.98909,                0.99862,                  0.995,                0.92801,                0.35578,                0.92936,                0.86253,              0.0010046,              0.0010046,              0.0010046
                     32,                0.42633,                0.76153,                0.92988,                0.98601,                0.99818,                  0.995,                0.93994,                0.31705,                0.88842,                0.83379,             0.00099044,             0.00099044,             0.00099044
                     33,                0.44613,                0.75478,                0.99027,                0.99236,                      1,                  0.995,                0.94959,                0.29464,                0.87678,                0.82492,             0.00097629,             0.00097629,             0.00097629
                     34,                0.41408,                0.69404,                0.87245,                0.97872,                0.99882,                  0.995,                0.94301,                0.30583,                0.85798,                0.83575,             0.00096215,             0.00096215,             0.00096215
                     35,                0.42254,                0.77761,                0.91171,                0.98907,                0.96237,                  0.995,                0.94646,                0.31314,                0.86834,                0.83552,               0.000948,               0.000948,               0.000948
                     36,                0.47955,                0.72934,                0.92383,                0.98858,                0.96497,                  0.995,                0.96882,                0.28402,                0.85302,                0.82638,             0.00093385,             0.00093385,             0.00093385
                     37,                0.39268,                0.66835,                0.89986,                0.99057,                 0.9603,                  0.995,                0.98901,                0.26964,                0.78576,                 0.8216,              0.0009197,              0.0009197,              0.0009197
                     38,                0.43747,                0.67263,                0.90566,                0.97201,                0.99518,                  0.995,                0.98163,                0.27154,                0.72202,                0.82259,             0.00090556,             0.00090556,             0.00090556
                     39,                0.47831,                0.70224,                0.95442,                0.98995,                      1,                  0.995,                 0.9501,                0.30582,                 0.7173,                0.83764,             0.00089141,             0.00089141,             0.00089141
                     40,                0.44476,                0.66024,                0.92238,                0.98971,                      1,                  0.995,                0.94969,                0.31216,                0.68576,                0.83509,             0.00087726,             0.00087726,             0.00087726
                     41,                0.39099,                0.67121,                 0.8956,                 0.9859,                      1,                  0.995,                0.94431,                0.30172,                0.67679,                0.82654,             0.00086312,             0.00086312,             0.00086312
                     42,                0.47654,                0.69726,                0.92425,                0.97524,                      1,                  0.995,                0.95946,                0.32387,                0.72161,                0.82569,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.4268,                0.65083,                0.91029,                0.97883,                0.99959,                  0.995,                0.95874,                0.31972,                0.74986,                0.82495,             0.00083482,             0.00083482,             0.00083482
                     44,                0.44049,                0.64582,                0.92008,                0.97743,                0.99665,                  0.995,                0.93725,                0.34771,                0.72734,                0.83658,             0.00082067,             0.00082067,             0.00082067
                     45,                0.39888,                0.65535,                0.90219,                0.98382,                      1,                  0.995,                0.94735,                0.36623,                0.73917,                0.84713,             0.00080653,             0.00080653,             0.00080653
                     46,                 0.4628,                0.64659,                0.90554,                0.98586,                      1,                  0.995,                 0.9525,                  0.358,                0.72876,                  0.845,             0.00079238,             0.00079238,             0.00079238
                     47,                0.40454,                0.63506,                0.93512,                0.98461,                      1,                  0.995,                0.93187,                0.36019,                0.75797,                0.85933,             0.00077823,             0.00077823,             0.00077823
                     48,                0.43092,                0.56264,                0.93646,                0.98505,                      1,                  0.995,                0.91859,                0.36188,                0.76556,                 0.8769,             0.00076409,             0.00076409,             0.00076409
                     49,                0.36077,                0.55014,                0.89122,                0.96362,                0.94279,                0.98917,                0.89656,                0.42549,                0.89135,                0.91407,             0.00074994,             0.00074994,             0.00074994
                     50,                0.42706,                0.62002,                0.94594,                0.98607,                0.98808,                  0.995,                0.91593,                0.38683,                0.87456,                 0.8971,             0.00073579,             0.00073579,             0.00073579
                     51,                0.43464,                0.61655,                 0.9093,                0.93472,                0.95238,                0.96767,                0.91577,                 0.3397,                0.85632,                0.87466,             0.00072164,             0.00072164,             0.00072164
                     52,                0.47175,                0.61702,                0.96827,                0.91521,                0.95238,                0.95749,                0.89645,                0.33205,                0.81814,                0.84952,              0.0007075,              0.0007075,              0.0007075
                     53,                0.36358,                0.56535,                0.84861,                0.94354,                      1,                  0.995,                 0.9327,                0.28054,                0.69129,                0.82605,             0.00069335,             0.00069335,             0.00069335
                     54,                0.41763,                0.61237,                0.89418,                0.98053,                      1,                  0.995,                0.96249,                0.26163,                0.60745,                0.82287,              0.0006792,              0.0006792,              0.0006792
                     55,                0.43998,                0.72628,                0.93834,                0.98937,                      1,                  0.995,                0.97921,                0.25387,                0.57223,                0.81896,             0.00066506,             0.00066506,             0.00066506
                     56,                0.41324,                0.61276,                0.93553,                0.98991,                      1,                  0.995,                0.97069,                0.24949,                0.57939,                0.81453,             0.00065091,             0.00065091,             0.00065091
