                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58161,                 3.3476,                 1.1068,                 0.0033,                      1,                0.38117,                 0.3296,                0.17813,                 3.2263,                0.74117,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                0.53876,                 3.2373,                 1.0485,                0.00333,                      1,                0.47539,                0.44667,                0.17874,                 3.2218,                0.72694,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                0.49106,                 3.0212,                0.97923,                0.00334,                      1,                0.47539,                0.47539,                0.18362,                 3.2108,                0.72263,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                0.46499,                 2.8104,                0.98242,                0.00335,                      1,                0.43717,                0.43717,                0.17904,                 3.1899,                0.71708,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                0.40221,                 2.5998,                0.93694,                0.00332,                      1,                0.50883,                0.50883,                0.20937,                 3.1423,                0.72573,             0.00012352,             0.00012352,             0.00012352
                      6,                 0.4708,                 2.3497,                0.96324,                0.00329,                      1,                0.52542,                0.52542,                0.25917,                 3.0556,                0.74498,             0.00014941,             0.00014941,             0.00014941
                      7,                0.45009,                 2.1528,                0.99582,                0.00327,                      1,                0.50875,                0.50875,                0.26251,                 2.9441,                0.74357,             0.00017474,             0.00017474,             0.00017474
                      8,                0.53931,                 2.1813,                  1.073,                0.00329,                      1,                 0.4975,                 0.4975,                0.25204,                  2.815,                0.73339,              0.0001995,              0.0001995,              0.0001995
                      9,                0.44306,                 1.8434,                0.96015,                0.00331,                      1,                0.53067,                0.52186,                0.26339,                 2.7765,                0.73427,             0.00022369,             0.00022369,             0.00022369
                     10,                0.51933,                 1.8993,                 1.0209,                0.00328,                      1,                0.64656,                0.64656,                0.26549,                 2.8021,                0.73439,             0.00024732,             0.00024732,             0.00024732
                     11,                0.41035,                 1.6067,                0.90878,                0.00327,                      1,                0.69069,                0.67232,                0.26886,                 2.8125,                0.73746,             0.00027038,             0.00027038,             0.00027038
                     12,                0.43041,                  1.611,                0.91544,                0.00327,                      1,                0.71861,                0.69104,                0.29032,                 2.7924,                0.73791,             0.00029288,             0.00029288,             0.00029288
                     13,                0.37788,                 1.5637,                0.91136,                0.95264,                0.33333,                0.71861,                0.70396,                0.28951,                 2.6889,                0.73159,             0.00031481,             0.00031481,             0.00031481
                     14,                 0.5028,                 1.5339,                0.97477,                0.93694,                0.33333,                0.71861,                0.70396,                0.28028,                 2.5483,                0.71976,             0.00033617,             0.00033617,             0.00033617
                     15,                 0.5398,                 1.5354,                0.99498,                 0.9102,                0.33333,                0.74639,                0.73265,                0.27135,                 2.4499,                0.71719,             0.00035697,             0.00035697,             0.00035697
                     16,                0.44695,                 1.3731,                0.93814,                0.90469,                0.33333,                0.80167,                0.75476,                0.29362,                 2.3935,                0.72897,             0.00037721,             0.00037721,             0.00037721
                     17,                0.39331,                 1.3468,                 0.8709,                0.93292,                0.33333,                0.80167,                0.76303,                0.32589,                 2.4965,                0.74953,             0.00039687,             0.00039687,             0.00039687
                     18,                0.45346,                 1.2162,                 0.9079,                      1,                0.30972,                  0.995,                0.90751,                0.34524,                 2.6533,                0.76747,             0.00041597,             0.00041597,             0.00041597
                     19,                0.44736,                 1.0746,                0.93225,                      1,                0.42556,                  0.995,                0.91762,                0.39986,                 2.7107,                0.79094,             0.00043451,             0.00043451,             0.00043451
                     20,                0.39332,                 1.0702,                0.87323,                      1,                0.27979,                  0.995,                 0.9342,                0.40127,                 2.6606,                0.78571,             0.00045248,             0.00045248,             0.00045248
                     21,                0.47076,                 1.1712,                 0.9275,                      1,                0.47391,                  0.995,                0.92595,                0.37222,                 2.4541,                0.77493,             0.00046988,             0.00046988,             0.00046988
                     22,                0.52163,                 1.0445,                0.94434,                0.81879,                      1,                  0.995,                0.92867,                 0.3226,                 2.1515,                0.74597,             0.00048672,             0.00048672,             0.00048672
                     23,                0.46418,                 1.0097,                0.95845,                0.75085,                      1,                  0.995,                0.94518,                0.28911,                 1.8651,                0.73874,             0.00050299,             0.00050299,             0.00050299
                     24,                0.48762,                 1.0529,                0.97487,                0.75352,                0.98962,                  0.995,                0.93241,                0.31551,                 1.6066,                0.76287,              0.0005187,              0.0005187,              0.0005187
                     25,                0.44176,                 1.0095,                0.91814,                 0.7456,                0.96877,                  0.995,                0.94719,                0.35165,                 1.6095,                0.77527,             0.00053384,             0.00053384,             0.00053384
                     26,                0.41214,                0.96302,                0.88004,                0.75485,                0.87211,                   0.94,                0.89018,                0.33708,                 1.7092,                0.77342,             0.00054841,             0.00054841,             0.00054841
                     27,                0.54565,                 1.0117,                0.94183,                0.81234,                 0.7906,                   0.94,                0.92335,                0.36925,                 1.7637,                0.79713,             0.00056242,             0.00056242,             0.00056242
                     28,                 0.5006,                0.99719,                0.94577,                0.81234,                 0.7906,                   0.94,                0.92335,                0.36925,                 1.7637,                0.79713,             0.00057587,             0.00057587,             0.00057587
                     29,                0.47878,                0.91151,                0.93124,                0.92643,                0.90497,                  0.995,                0.97835,                0.35473,                 1.5943,                0.81051,             0.00058874,             0.00058874,             0.00058874
                     30,                0.45226,                0.91113,                0.91891,                 0.9516,                0.92842,                  0.995,                0.95912,                0.33084,                 1.9978,                0.80277,             0.00060105,             0.00060105,             0.00060105
                     31,                0.45608,                0.97192,                 0.8468,                 0.9516,                0.92842,                  0.995,                0.95912,                0.33084,                 1.9978,                0.80277,              0.0006128,              0.0006128,              0.0006128
                     32,                0.53711,                 1.0196,                0.98127,                0.82736,                0.99644,                  0.995,                0.95085,                0.33497,                 2.0438,                0.80087,             0.00062398,             0.00062398,             0.00062398
                     33,                0.48331,                  1.058,                0.95014,                0.81636,                0.97114,                  0.995,                 0.9342,                0.33609,                 1.8806,                0.78819,             0.00063459,             0.00063459,             0.00063459
                     34,                 0.5287,                0.98954,                0.94145,                0.81636,                0.97114,                  0.995,                 0.9342,                0.33609,                 1.8806,                0.78819,             0.00064464,             0.00064464,             0.00064464
                     35,                0.49032,                0.86616,                0.96037,                0.83767,                0.96718,                  0.995,                0.96183,                0.33344,                 1.6993,                0.76637,             0.00065412,             0.00065412,             0.00065412
                     36,                 0.4486,                0.89607,                0.87145,                0.89238,                0.98576,                  0.995,                0.90671,                0.36356,                 1.5506,                0.78269,             0.00066303,             0.00066303,             0.00066303
                     37,                0.47999,                0.92057,                0.92638,                0.89238,                0.98576,                  0.995,                0.90671,                0.36356,                 1.5506,                0.78269,             0.00067138,             0.00067138,             0.00067138
                     38,                0.39473,                0.91013,                0.87369,                0.93671,                0.96624,                  0.995,                 0.8515,                 0.3623,                 1.4314,                0.79796,             0.00067917,             0.00067917,             0.00067917
                     39,                0.46764,                 1.0032,                0.94418,                 0.7741,                      1,                  0.995,                0.85739,                0.39817,                 1.5424,                0.84514,             0.00068639,             0.00068639,             0.00068639
                     40,                0.42786,                0.84999,                0.90478,                 0.7741,                      1,                  0.995,                0.85739,                0.39817,                 1.5424,                0.84514,             0.00069304,             0.00069304,             0.00069304
                     41,                0.31529,                0.78994,                0.85991,                0.69675,                      1,                  0.995,                0.86233,                0.37791,                 1.4961,                0.82429,             0.00069912,             0.00069912,             0.00069912
                     42,                0.37358,                 0.8209,                0.89978,                0.85015,                0.98934,                  0.995,                 0.8955,                0.31983,                 1.5098,                0.80077,             0.00070464,             0.00070464,             0.00070464
                     43,                0.42896,                0.85123,                0.88676,                0.85015,                0.98934,                  0.995,                 0.8955,                0.31983,                 1.5098,                0.80077,              0.0007096,              0.0007096,              0.0007096
                     44,                0.39576,                0.84941,                0.88359,                0.93999,                0.94738,                  0.995,                  0.995,                0.29597,                 1.4348,                0.77569,             0.00071399,             0.00071399,             0.00071399
                     45,                0.47603,                 0.9145,                0.98494,                0.93999,                0.94738,                  0.995,                  0.995,                0.29597,                 1.4348,                0.77569,             0.00071781,             0.00071781,             0.00071781
                     46,                0.52289,                0.84164,                0.95225,                0.95183,                0.99414,                  0.995,                  0.995,                0.27187,                 1.3468,                0.75168,             0.00072107,             0.00072107,             0.00072107
                     47,                0.37083,                0.77762,                0.89274,                0.95183,                0.99414,                  0.995,                  0.995,                0.27187,                 1.3468,                0.75168,             0.00072376,             0.00072376,             0.00072376
                     48,                0.49498,                0.84487,                0.97714,                0.94637,                0.99262,                  0.995,                  0.995,                0.25437,                 1.2998,                0.75407,             0.00072588,             0.00072588,             0.00072588
                     49,                0.41946,                0.80325,                0.92802,                0.94637,                0.99262,                  0.995,                  0.995,                0.25437,                 1.2998,                0.75407,             0.00072744,             0.00072744,             0.00072744
                     50,                0.39341,                0.84884,                 0.9152,                0.91374,                      1,                  0.995,                  0.995,                0.24206,                  1.324,                0.74151,             0.00072843,             0.00072843,             0.00072843
                     51,                0.43207,                0.92923,                0.88856,                0.91374,                      1,                  0.995,                  0.995,                0.24206,                  1.324,                0.74151,             0.00072164,             0.00072164,             0.00072164
                     52,                0.43846,                0.80474,                0.91281,                0.91567,                      1,                  0.995,                0.93693,                0.32135,                 1.3186,                0.76493,              0.0007075,              0.0007075,              0.0007075
                     53,                0.38278,                0.83422,                0.90083,                0.91567,                      1,                  0.995,                0.93693,                0.32135,                 1.3186,                0.76493,             0.00069335,             0.00069335,             0.00069335
                     54,                0.41176,                 0.7952,                0.89339,                0.93383,                      1,                  0.995,                0.94518,                0.31688,                 1.0623,                0.76125,              0.0006792,              0.0006792,              0.0006792
                     55,                0.35019,                0.77999,                 0.8868,                0.93383,                      1,                  0.995,                0.94518,                0.31688,                 1.0623,                0.76125,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.4275,                0.77824,                0.92328,                0.97284,                      1,                  0.995,                0.93427,                0.29896,                0.83799,                 0.7531,             0.00065091,             0.00065091,             0.00065091
                     57,                0.38461,                0.70916,                0.88111,                0.97284,                      1,                  0.995,                0.93427,                0.29896,                0.83799,                 0.7531,             0.00063676,             0.00063676,             0.00063676
                     58,                0.34107,                0.78792,                0.88718,                0.97652,                      1,                  0.995,                0.96183,                0.29163,                0.78536,                 0.7457,             0.00062262,             0.00062262,             0.00062262
                     59,                0.43964,                0.76357,                0.89218,                0.97652,                      1,                  0.995,                0.96183,                0.29163,                0.78536,                 0.7457,             0.00060847,             0.00060847,             0.00060847
                     60,                0.35797,                0.78811,                0.89237,                0.96949,                      1,                  0.995,                0.94719,                0.29511,                0.83556,                0.74502,             0.00059432,             0.00059432,             0.00059432
                     61,                  0.397,                0.72142,                0.87397,                0.96949,                      1,                  0.995,                0.94719,                0.29511,                0.83556,                0.74502,             0.00058017,             0.00058017,             0.00058017
                     62,                0.40793,                0.79934,                0.88722,                  0.967,                      1,                  0.995,                0.96183,                0.29534,                0.84095,                0.74884,             0.00056603,             0.00056603,             0.00056603
                     63,                0.36092,                0.71698,                0.90165,                  0.967,                      1,                  0.995,                0.96183,                0.29534,                0.84095,                0.74884,             0.00055188,             0.00055188,             0.00055188
                     64,                0.38287,                0.73089,                0.92755,                0.97036,                      1,                  0.995,                0.96183,                0.28336,                0.80711,                 0.7416,             0.00053773,             0.00053773,             0.00053773
                     65,                0.37702,                0.71876,                0.85649,                0.97036,                      1,                  0.995,                0.96183,                0.28336,                0.80711,                 0.7416,             0.00052359,             0.00052359,             0.00052359
                     66,                0.37062,                0.78211,                0.92876,                0.96871,                      1,                  0.995,                0.95085,                0.27512,                0.75171,                0.73631,             0.00050944,             0.00050944,             0.00050944
                     67,                0.32403,                0.66605,                0.86025,                0.96871,                      1,                  0.995,                0.95085,                0.27512,                0.75171,                0.73631,             0.00049529,             0.00049529,             0.00049529
                     68,                0.38049,                0.74883,                0.89022,                 0.9737,                      1,                  0.995,                0.97304,                0.34936,                0.75177,                0.77291,             0.00048114,             0.00048114,             0.00048114
                     69,                0.37456,                0.67917,                0.87524,                 0.9737,                      1,                  0.995,                0.97304,                0.34936,                0.75177,                0.77291,               0.000467,               0.000467,               0.000467
                     70,                0.35497,                0.72605,                0.90394,                0.97827,                      1,                  0.995,                 0.9454,                0.37863,                0.74587,                0.80295,             0.00045285,             0.00045285,             0.00045285
                     71,                0.24508,                0.65965,                0.84416,                0.97827,                      1,                  0.995,                 0.9454,                0.37863,                0.74587,                0.80295,              0.0004387,              0.0004387,              0.0004387
                     72,                0.37047,                0.71023,                 0.8724,                 0.9795,                      1,                  0.995,                0.95639,                0.34734,                0.73782,                0.77284,             0.00042456,             0.00042456,             0.00042456
                     73,                0.43819,                0.75587,                0.96614,                 0.9795,                      1,                  0.995,                0.95639,                0.34734,                0.73782,                0.77284,             0.00041041,             0.00041041,             0.00041041
                     74,                0.26158,                0.67109,                0.88134,                0.97941,                      1,                  0.995,                0.95639,                0.32845,                 0.7214,                0.75619,             0.00039626,             0.00039626,             0.00039626
                     75,                0.43672,                0.71468,                0.93249,                0.97941,                      1,                  0.995,                0.95639,                0.32845,                 0.7214,                0.75619,             0.00038211,             0.00038211,             0.00038211
                     76,                0.39739,                0.68985,                0.91697,                0.97959,                      1,                  0.995,                0.98402,                 0.3217,                0.72408,                0.74399,             0.00036797,             0.00036797,             0.00036797
                     77,                0.36124,                0.68279,                0.86577,                0.97959,                      1,                  0.995,                0.98402,                 0.3217,                0.72408,                0.74399,             0.00035382,             0.00035382,             0.00035382
                     78,                0.30711,                 0.6319,                0.89545,                 0.9799,                      1,                  0.995,                0.94719,                0.29891,                0.71522,                0.73903,             0.00033967,             0.00033967,             0.00033967
                     79,                0.33381,                0.62879,                0.86487,                 0.9799,                      1,                  0.995,                0.94719,                0.29891,                0.71522,                0.73903,             0.00032553,             0.00032553,             0.00032553
                     80,                0.34671,                0.61979,                0.87654,                0.97871,                      1,                  0.995,                0.96183,                0.29794,                0.67862,                0.74373,             0.00031138,             0.00031138,             0.00031138
                     81,                0.34192,                0.60749,                0.86353,                0.97871,                      1,                  0.995,                0.96183,                0.29794,                0.67862,                0.74373,             0.00029723,             0.00029723,             0.00029723
                     82,                0.34315,                0.61785,                0.87985,                0.97611,                      1,                  0.995,                0.96183,                0.28396,                 0.6784,                0.74528,             0.00028308,             0.00028308,             0.00028308
                     83,                0.40457,                0.67928,                0.90515,                0.97611,                      1,                  0.995,                0.96183,                0.28396,                 0.6784,                0.74528,             0.00026894,             0.00026894,             0.00026894
                     84,                0.33297,                0.62331,                0.90784,                0.97514,                      1,                  0.995,                0.96183,                0.27386,                0.66415,                0.74176,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.3294,                0.58673,                0.88411,                0.97514,                      1,                  0.995,                0.96183,                0.27386,                0.66415,                0.74176,             0.00024064,             0.00024064,             0.00024064
                     86,                0.41684,                0.66729,                0.97143,                0.97526,                      1,                  0.995,                0.96183,                0.26478,                 0.6478,                0.73714,              0.0002265,              0.0002265,              0.0002265
                     87,                0.34121,                0.62382,                0.89515,                0.97526,                      1,                  0.995,                0.96183,                0.26478,                 0.6478,                0.73714,             0.00021235,             0.00021235,             0.00021235
                     88,                0.32672,                0.58502,                0.88759,                0.97619,                      1,                  0.995,                  0.995,                0.26154,                0.63746,                0.73154,              0.0001982,              0.0001982,              0.0001982
                     89,                0.36487,                0.68955,                0.90777,                0.97619,                      1,                  0.995,                  0.995,                0.26154,                0.63746,                0.73154,             0.00018406,             0.00018406,             0.00018406
