epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90043,0.68381,2.83056,1.0498,0.00569,1,0.79988,0.76994,0.20869,2.46345,0.76591,4e-05,4e-05,4e-05
2,19.1564,0.54364,2.45053,0.96052,0.00595,1,0.98083,0.89829,0.36137,2.3589,0.7747,9.901e-05,9.901e-05,9.901e-05
3,28.1801,0.54123,1.77782,0.93088,0.00563,1,0.98519,0.94294,0.2688,2.16811,0.75947,0.000156832,0.000156832,0.000156832
4,37.3283,0.55669,1.19884,0.94445,0.96037,0.83598,0.98015,0.91492,0.31485,1.71793,0.76739,0.000213466,0.000213466,0.000213466
5,46.3101,0.4963,0.80173,0.92988,0.99096,0.96552,0.994,0.91096,0.36697,1.084,0.77249,0.000268912,0.000268912,0.000268912
6,55.3144,0.49979,0.76623,0.9419,0.99507,1,0.995,0.92089,0.3592,0.79359,0.78062,0.00032317,0.00032317,0.00032317
7,64.3054,0.50566,0.75377,0.9471,0.99888,1,0.995,0.93486,0.36865,0.73258,0.78114,0.00037624,0.00037624,0.00037624
8,73.4246,0.4738,0.71807,0.9018,1,0.95917,0.98851,0.8562,0.50455,1.11887,0.81872,0.000428122,0.000428122,0.000428122
9,82.3983,0.48732,0.67351,0.90929,1,0.99668,0.995,0.89258,0.43874,0.87414,0.80335,0.000478816,0.000478816,0.000478816
10,91.2591,0.5065,0.63226,0.94412,0.99691,1,0.995,0.91138,0.4414,0.80709,0.79277,0.000528322,0.000528322,0.000528322
11,100.127,0.50099,0.69841,0.9282,0.99962,1,0.995,0.92315,0.36482,0.86325,0.78571,0.00057664,0.00057664,0.00057664
12,109.063,0.51711,0.65623,0.90968,1,0.98595,0.995,0.90328,0.44277,0.9593,0.80085,0.00062377,0.00062377,0.00062377
13,117.966,0.56272,0.65722,0.96613,0.9994,1,0.995,0.89975,0.47567,0.83713,0.81648,0.000669712,0.000669712,0.000669712
14,126.821,0.51882,0.64125,0.92691,0.99337,1,0.995,0.92045,0.43612,0.95069,0.79706,0.000714466,0.000714466,0.000714466
15,135.72,0.57641,0.67444,0.96148,0.9939,1,0.995,0.89212,0.47536,1.03086,0.82018,0.000758032,0.000758032,0.000758032
16,144.612,0.54109,0.66125,0.94341,0.99331,1,0.995,0.88718,0.47737,1.07467,0.81535,0.00080041,0.00080041,0.00080041
17,153.426,0.49995,0.6374,0.925,0.99321,1,0.995,0.87919,0.49873,1.05373,0.82204,0.0008416,0.0008416,0.0008416
18,162.347,0.48667,0.58309,0.90764,0.99658,1,0.995,0.88197,0.49963,0.8752,0.80114,0.000881602,0.000881602,0.000881602
19,171.156,0.47486,0.61244,0.88777,0.99651,1,0.995,0.85111,0.5805,0.80066,0.85571,0.000920416,0.000920416,0.000920416
20,180.107,0.48228,0.58201,0.8993,0.99671,1,0.995,0.89216,0.49431,0.71922,0.85238,0.000958042,0.000958042,0.000958042
21,189.479,0.49497,0.56716,0.90749,0.99688,1,0.995,0.89543,0.49359,0.72642,0.83734,0.00099448,0.00099448,0.00099448
22,198.864,0.50064,0.57633,0.91646,0.99799,1,0.995,0.91581,0.43857,0.78514,0.80878,0.00102973,0.00102973,0.00102973
23,207.965,0.43873,0.54834,0.8894,0.99832,1,0.995,0.93213,0.38987,0.79977,0.78231,0.00106379,0.00106379,0.00106379
24,217.035,0.43424,0.54545,0.8761,1,0.99986,0.995,0.90724,0.4149,0.72675,0.78808,0.00109667,0.00109667,0.00109667
25,226.137,0.41338,0.52131,0.86248,0.99918,1,0.995,0.90507,0.41946,0.69405,0.78886,0.00112835,0.00112835,0.00112835
26,235.258,0.45476,0.53191,0.8935,0.99721,1,0.995,0.90498,0.39688,0.65861,0.79097,0.00115885,0.00115885,0.00115885
27,244.424,0.42519,0.49495,0.88533,0.99779,1,0.995,0.90468,0.39984,0.57997,0.79293,0.00118816,0.00118816,0.00118816
28,253.776,0.45686,0.49686,0.89846,0.99565,1,0.995,0.91258,0.42758,0.58811,0.79207,0.00121628,0.00121628,0.00121628
29,263.134,0.45674,0.51862,0.91804,0.98745,1,0.995,0.91406,0.37334,0.62359,0.77994,0.00124322,0.00124322,0.00124322
30,272.619,0.49692,0.54611,0.94971,0.99694,1,0.995,0.94695,0.30696,0.60658,0.76201,0.00126896,0.00126896,0.00126896
31,281.847,0.54882,0.56392,0.954,0.99731,1,0.995,0.93455,0.3453,0.59389,0.76637,0.00129352,0.00129352,0.00129352
32,291.37,0.43522,0.50755,0.88001,0.99819,1,0.995,0.91497,0.36787,0.49763,0.77953,0.00131689,0.00131689,0.00131689
33,300.79,0.4839,0.50227,0.90417,0.99829,1,0.995,0.91569,0.38585,0.47464,0.78548,0.00133907,0.00133907,0.00133907
34,309.947,0.49278,0.50867,0.95476,0.99807,1,0.995,0.93003,0.42251,0.50903,0.80376,0.0013466,0.0013466,0.0013466
35,318.974,0.43169,0.48869,0.89219,0.99817,1,0.995,0.92565,0.41016,0.47318,0.80049,0.0013268,0.0013268,0.0013268
